short_name,total
A. Frausto,405261
A. Ghomsi,817769
Pedro Ribeiro,615262
A. Swinkels,57-45668
R. Zwinkels,443960
Lolo Pavón,54-15148
D. Ciofani,665067
Tomi,43-856-662+6
D. Destorme,455760
T. Phibel,4933-1255
R. Ramos,34-2461+1673-2
M. Heller,918360
Kim Hyung Il,317655
Park Won Jae,728163
C. Costly,716558
M. Theo,52+757+1372+10
Deleu,818067
A. Hainault,616265
J. Ramaré,44-971-163
J. Villalpando,606463
F. Santacroce,78-27665-1
L. Bolaños,726868
A. Stolz,485057
A. Dona Ndoh,757560
Lee Sang Hup,797932
E. Paartalu,545559
A. Winter,827058-6
I. Traoré,58-35361
J. Lorca,69-369-366
M. Antoine-Curier,717258
A. Amelchenko,464860
M. Skender,414856
P. Staňo,415353
S. Lenhart,65+77170
J. Carvallo,524645
A. Jacobson,656066
R. Despotović,6563+271
Rodrigo Folle,686664
R. Ruiz,81-170-169-1
A. Jawo,817762
G. Masucci,77-279-1068+1
L. Hanzel,727256
M. Taylor,55-568-461
Macedo Novaes,445052
Derley,51-75960
M. Dalé,75+274+469
D. Penny,635856
P. Taylor,71-17168
Bolívia,69-165-364
Fran Sandaza,58-14964
D. Peitz,303068
Nélson Pedroso,75+46466
S. Frei,44+156+352
D. Alvarez,787570
H. Acuña,819164
Kwon Soon Hyung,377666
Kwak Kwang Sun,575963
Kang Seung Jo,687662
M. Sailer,757566
F. Pisacane,556667-1
D. Gavazzi,696564-1
António Ferreira,79-16057
S. Koné,67-551-1752
V. Dvalishvili,676256
E. Junuzović,607064
E. González,537664
G. Perozo,73+372+356
H. Al Raheb,82+26354
J. Orlov,636269
Edu Oriol,727167
M. Flores,64-256-259-2
B. Gorka,514257
D. Zanon,677370
Jony,6470+472
R. Amieux,75+167+265
Jorge Teixeira,655562+2
Z. Diallo,52+14161
A. Kumedor,7370+265
R. Koch,846960-2
E. Gorodov,506558
Kijera,69-46763+4
M. Naguib,706560
C. Tainmont,667164
R. Zillner,746962
R. Demjan,616363
W. Katsande,686266
E. Retamoso,52-1449-2163
J. Pérez,55-47863
F. Brillant,504558
A. Hofmann,635764
F. Bong,55-74542
H. Sulaimani,68+46569
M. Previtali,656172
S. Abu Hash'hash,666666
K. Al Mor,85+188+367
A. Al Mutairi,7077+259
P. Rosales,58-369-267+2
C. Soto,667565
Tiago Caeiro,33-124970
B. Belalcázar,485668
E. Móvil,637862
E. Croce,8290+3462
G. Barriga,67-37453+1
B. García,725565
D. Briceño,615862
W. Díaz,336565
Y. Hinestroza,708566
C. Ayala,606466
M. Mina,776667
M. Jiménez,41-142+563+16
G. Sandoval,8067-472
S. Méndez,49-35668
João Afonso,34+13461
D. Ferreira,53-15263
F. Razzotti,595463
E. Trípodi,443965
S. Martínez,3247+1551
E. Goñi,745558
J. Bozga,62-244+261+3
F. Oreja,767268
Idris,534062
J. Ramírez,665560
O. Cabral,413157
J. Méndez,778366
F. Pellegrino,362867
A. Kutyin,645461
P. López,758160
D. Frascarelli,464359
L. Ezquerra,636559
N. Maupay,87-18763
R. Bazoer,736764
J. Minala,726457-1
M. Dembélé,786758
D. Davydov,7176+1964
J. Riedewald,66-16564
A. Çalık,614261
André Moreira,473558
A. Petagna,605455-1
M. Tanković,747256
L. Ontivero,79+973-165-1
R. Karsdorp,676260
A. Gomis,435962-1
M. Chiosa,696554-1
J. Wallace,7473+558
G. Laborde,757861
De Tomás,67+17363
Emerson,787260
M. Hallberg,63-17267
S. Vegas,71+215552+10
H. Khaloua,6977+153+1
N. Aliji,847163
A. Sanabria,736558-1
J. Denayer,756255
E. Boateng,808367
M. Gregoritsch,64+1061+560+3
M. Angha,686458
M. Koch,62-659+1056
H. Stengel,717165
S. Tibbling,769063
G. Perdomo,504871
J. Lumu,858355
João Schmidt,606064
N. Chamed,817759
R. Khedira,55-46060
T. Strakosha,413155-1
A. Robles,746055
Y. Cissako,848764
Bruno Nazario,69-478-162
A. Briseño,69-16157-1
K. Zohore,665950
E. Jelenič,728165-1
P. Gouano,555560
A. Henley,766565
V. Verre,676658-1
S. March,8081+852
K. Mayi,867251
K. Peterson,787754
Wanderson,84+77959
F. Sporkslede,696864
C. Johnston,90+1580+1042-6
Tarsi,61-171+364
S. Kerk,6974+158
D. Efremov,6270+1266+13
L. Janson,6878+2166-12
E. Beloso,735946
Fábio Sturgeon,787256+6
F. Carmona,777356
J. Pohjanpalo,747258+2
R. Dekker,756556
Z. Benedičič,655958
E. Hussain,798351
J. Bond,545660
J. Forster-Caskey,767564
N. Kabasele,736859
A. Jug,524261
S. Carruthers,707156
I. Diomandé,66-571+651
A. Benali,858964-1
A. Achahbar,747558
T. Kane,795659
A. Pléa,797358
H. Magnússon,53-15759-1
S. Beltrame,81+1272+354+4
T. Haye,757754
J. van Overeem,72+107255+6
M. Fossati,68-178-164-1
L. Woudenberg,746058
C. Lavery,79+377-160+6
J. Radošević,60-15961-1
P. Solomatin,73+176+1256
A. Mowatt,51-853-1556-3
M. Bolados,78+484+3466+13
J. Pi,72+975+467
D. Mangni,81+27949-6
Cotán,6468+160+1
Y. Mbombo,83+1074+261+5
L. Houri,70+573+1668+13
P. Leeuwenburgh,443164
S. Grahovac,657357
Vallejo,664460
F. Kastrati,827659
S. Morsy,7570+363
W. Evseev,746958
F. Cuvelier,7879+366
D. Kayumov,7187+1653
M. Hector,68-657+1558+4
C. Christie,81-182+166
B. Afobe,836762
Z. Hammar,757765
T. Blackett,6747-965+10
J. Bryan,7981+757
M. Bougaidis,583241
K. Djidji,67-56154
K. Lala,65+365+161+4
G. Comi,64-15962-1
O. Selnæs,687164
S. Sabelli,756564-1
F. Fragapane,69-185+157+1
J. Ruiz,777368+12
M. de Jesús,77-465-359+6
F. Mollet,79+680+463
K. Altınay,556257
T. Kędziora,68+17153
M. Blanc,788159+8
D. Bakker,635861+3
J. Cavallaro,787958
Y. Sabaly,69+264+165+2
J. Fuentes,71-567-764+12
C. Bravo,797750+1
L. Rolón,76+177+161+7
S. Sawadogo,91+39055
J. Amavi,80+377+763+2
M. Kahraba,807165
F. Bellocq,68+266+269+20
Tomas Dabó,7172+261
T. Karagounis,766640
Z. Kalmár,7268+163
M. Milanović,66-13461-1
M. Bolly,977366
G. Kongshavn,234456
L. Garbutt,71+16163+7
X. Chavalerin,7062+558
Golobart,53-155-561
M. Büchel,69+567+164-1
P. Slišković,67-15459
J. Svensson,758165
A. Messaoud,676561
J. Hélan,90+17563
K. Freeman,68-17366
J. Trompet,696567
J. Gómez,71-586+764-1
M. Söderqvist,848270
J. Riley,707261
A. Schalk,767366
A. Masika,838866
A. Trajkovski,747162
D. Ndongala,778260+2
B. Thoelke,534862
A. Koura,90+1779+865+8
M. Luongo,73+179+1163
Tiago Ferreira,57-16059
J. Acosta,737051
A. Shvets,54-551+154+1
A. González,737261
T. Lam,626058
H. Vidémont,85+386+344
A. Gilbey,76+37056
R. Lawal,727361
F. Malbasic,696851
M. Halstenberg,765758
Salva Ruíz,6965+159+1
B. Meccariello,6857+251+1
F. Tait,785768+6
S. Buyl,747864
J. Nieto,707060
E. Chaux,413664
W. Benítez,443263+10
F. Martin,7470+537
J. Mendoza,778162+6
Cafú,665560
Marco Asensio,6669+362
E. Berggren,625859
S. Zúñiga,827752
Bruno Gaspar,666457
L. Gomis,353560-1
J. Skjelvik,877365
D. Naki,808162
D. Elsneg,85+182+454
R. Mason,687363+3
D. Falcinelli,74+27154-1
G. Madrigal,6063+1559-1
J. Collins,706863
A. Nieto,66-170-156-1
C. Özkara,473848
O. Buff,67-67058
B. Wright,716064
K. Malcuit,83+478+457
S. Petrov,657069
S. Okoro,898654
S. Gallucci Otero,646167
D. Høegh,684861
A. Rodríguez,778463+5
D. Ramírez,68-170-160-1
K. Ntlhe,7879+263
G. Defrel,79-18064-7
A. Sekret,556564
Aitor Castro,63-272-157
Z. Tripić,727258
Patric,71+965+162
A. Dzhalilov,709265
S. Falette,66+1248+151
M. Steenvoorden,615654
A. Al Auichir,595054
A. Pazio,835854
H. Quiñones,727368
A. Callens,52-134-1051
G. Țucudean,625461
J. Osorio,65-77559
J. Une Larsson,615852
L. Parodi,596266
E. Ruales,687761
O. Opazo,70-28551
Caro,69+162+261
B. Cortés,65-37056
P. Carlgren,334869
E. Suagher,55-34651-1
J. Abella,77-464-562-1
P. Arriola,85-18053-1
Tana,73+174+236
Diego Rico,67+362+261
Óscar Whalley,423466+2
J. Ramos,766861
P. Schobesberger,827654
O. Çek,707164
S. Hutchinson,78+1068+268
R. Dossena,394855
F. Moussa,8085+265
J. Mattock,78+46365-1
Romeu Ribeiro,666165
J. Kean,502665
C. Ibáñez,76-759-2166-1
P. Koch,726357
M. Budziński,555757
Palmeira,484658
N. Ranger,716763
G. Sauro,554662-3
J. Edwards,7382+157
M. Schulze,686559
M. Djuric,54-536-3069-1
Assis,303457
R. ten Voorde,63-15564-1
M. Calderoni,777564-1
Sergi Enrich,61-163+271
L. Marín,646561
Alcolea,586362
A. Abrashi,707361
E. Sağlik,768062
J. Knudsen,826149
M. Peersman,706765
I. Portnyagin,6761+967
M. Makuszewski,90+47178
R. Smallwood,637357
M. Doherty,68-16160
R. Towell,728063
M. O'Halloran,8380+960
A. Erokhin,645762
T. Weilandt,675863
P. Terracciano,404167-1
M. Lampson,41-738-150
R. Meara,43-43854
J. Magique,6970-260
F. Andrada,6766-564-4
R. Saïss,72+163+1060+2
C. Rivieyran,776266
R. Ofori,897061
Pinillos,72+569+359+3
Lee Seok Hyun,715862
D. Rodríguez,6467-264
L. Murillo,798263
Y. Gordillo,707165
W. Barrios,666664
P. Magalhães,797864-2
F. Obeso,778263
A. Barrios,706363
M. Jadue,67+1662-140
M. Qasim,746165
S. Dittborn,69-48646
F. Poli,69+857+852+9
Akapo,79-272+860+11
I. Bukenya,45-2543-2353
W. Kanon,54-54645
A. Lang,635958
M. Spano,644849
P. Bourdin,624262
Cámara,746256
A. Marušić,746164
G. Shitolo,585060
M. Seanego,788356
B. Jovicic,685568
M. Kruska,656966
J. Grant,868246
V. Basha,6571-361+3
P. McGowan,748368
D. Green,776649
G. Musacci,62-779+1069
A. Paolucci,687056-1
K. van Diermen,584760
Koh Myong Jin,807360
W. Moimbé,83+171+3059
K. Álvarez,44-1041-655-7
R. Nava,52-87059-1
K. Gastelum,62+763-162-1
J. Baxter,51-127057
Sodinha,73+473+461-1
S. Burchert,485463
G. Cabrera,7886+368
A. Rispoli,7770+164-1
T. Adeyemi,70-17159
G. Acosta,82+28151-1
E. Orrantia,82-179-159+2
V. Lundberg,667263
A. També,747163
T. Schrammel,7677+167
Diogo Rosado,64-261-755-5
M. Grigoriev,656261
G. Wylde,907157
M. Titsch-Rivero,636763
M. Pack,626462+5
K. Chemmam,656258
M. Możdżeń,737669
J. Jervis,82+25975
A. Tinnerholm,827263
Provencio,656361
A. Christiansen,647263
Mejías,596160
A. Donnarumma,253063-1
D. Lafferty,787254
K. Sarkodie,85+39061
M. Jones,798161
D. Schmidt,66-16562
D. Lezcano,7679+261
Iván Sánchez,84-177-268+1
D. Zbozień,72+36157
David Ferreiro,8289+571
U. Nwofor,73-16464
N. Bitton,64-24865+2
F. Boli,746556
N. DeLeon,62-106667
A. Čerimagić,847758
Bae Il Hwan,787466
Óscar Plano,777257-1
Z. Alomerovic,414363+4
M. Matras,6233-1163
V. Khozin,555262
F. Holst,7765+661
R. Godínez,62-247-164-1
L. Loroña,69-1271-152-1
Wellington Lima,343949
J. Michel,566562
G. Martínez,73-264-363
N. Palacios,664861
O. Álvarez,817663
J. Abarca,80+662-159
F. Pizarro,757752
M. Dávila,798345
S. Moyano,493652
A. Alegre,53-860+864+14
M. Sarulyte,49-839-555
A. Carvallo,79-119054
W. Guerrier,91+278+266
L. Bontempo,78+378+560+1
L. Rizzo,69-26858-1
H. Traoré,7377+2452+5
F. Adi,75-45460
D. Delgado,736864
P. Ramírez,738866
C. Rivas,787067
T. Hamed,665959
M. Arguinarena,908861
S. Rochet,493053
Anderson Correia,837568
O. Salinas,847854
M. Ezzat,545458
Lupeta,505255
Ricardo Batista,444650
J. Hartock,555751
K. Osborne,72-56453+5
S. Okoronkwo,806863
K. Lee,725964+3
M. Little,86+375+467
A. Wordsworth,636158
André Marques,626564
J. Riegler,45-94852
M. Jones,904353
César Díaz,827064
B. Kopplin,81+17063
William,79-478-1268-1
A. Landgren,686467
N. Rukavytsya,9073-166-1
J. Lantto,837861
C. Ramsebner,44-857+462
N. Blackman,7570+159
T. Høiland,806248
M. Sadlok,716357
J. Koprivec,504865
L. Ayling,7472+362
E. Avila,69-107362
F. Sears,8380+256
S. Mthembu,666167
G. Assulin,85-186-458
H. Eyjólfsson,494463
K. Diaz,77+281+357
M. Wilusz,526374
A. Ligi,665960-1
Edu Bedia,57-662-565
H. Dalsgaard,856260
Lim Jong Eun,707051
M. Thorbjörnsson,484467
N. Hult,929076
P. Huspek,85+18351
Mario Ortiz,657174
P. Schönfeld,69-559+160+2
J. van der Linden,50-24460
D. Kearns,848052
C. Vicento,858461
P. Klingmann,646158+2
Osmar,303465
Pedro Orfila,737259
R. Pasi,747065
Dani Toribio,6662+150
Iván González,556062-3
A. Grimaldi,606260
Onwu,75+163+258
D. Školnik,747268
H. Pichler,676150
S. Ortega,596265+1
K. Van Roose,636463
Lee Yong,777569
João Diogo,76+181+1364
J. Słowik,463459
M. Le Bihan,69+570+568
L. Boyce,747063
B. Balogh,686965
Regalón,6658+161
R. Freuler,647066
E. Cummins,515659
K. Alhassan,79-89161
T. Smith,78+1364+844
O. Roshi,9073-160-3
O. Cissé,46-141+157
M. Ngoo,7754-264
R. Baca,44-106265-1
W. Golla,646245
M. Thiede,677761
M. Sourzac,555554
D. Djokovic,656865
J. Ojala,5255-163
Felipe,69-67556
D. Blum,84+869+165+3
Q. Bernard,69-15141
K. Dobras,73+573+445
L. Zuffi,625652+2
A. Alsdairy,415252
T. Gabuza,70-85248
M. Osuna,71-465-165-2
G. Puel,76+1264+965
E. Farias,58-35956
J. Quiñónes,313056
J. Arias,685263
O. Huerta,74-179-154+1
A. Nieves,283150
J. Nájera,597264
J. Mosquera,626966
Y. Rivera,525967
L. Castro,706266
R. Gattás,58-37549-6
F. Rasmussen,544954
G. Sepúlveda,50-366-147
P. Troncoso,8169-262
J. Rebolledo,61-467-352
C. Rius,787548
C. Lema,38+941+1659+14
A. Silva,536655
B. Vriends,59+25057
M. Al Laham,706043
W. Mazzolatti,71-372+156
E. Ellacópulos,6575+760
I. Herrera,7867-355
M. Miloš,6757+266-2
S. Heltne Nilsen,685954+3
M. Ben Othman,7065+158
J. Rodríguez,665762
B. Parlak,616462
S. Griesbeck,555663
E. Kaş,737062
T. van Weert,666564
D. González,727363
A. Damčevski,373446
Israel,788263
B. Clarke,678663
G. Karanović,767172+2
M. O'Connor,676462-2
N. Sturgis,55+16564
M. Junglas,696864+2
C. Humphrey,908161
W. Fogden,80+275+156
D. Marcq,586263
O. Sissoko,27-2321-3954
P. Helland,747041
G. Margreitter,50-44461
F. Santos,76-172-155-1
A. Bouka Moutou,75+467+1065
G. Woods,526657
A. Gallardo,66-166-163-6
M. Olsson,8280+271
M. Seidl,656056
E. Butin,73+570+471
S. Hanni,726853
C. Klem,85+189+164-7
S. Salviato,726262
P. Madden,817059
D. Templeton,828162
J. Clarke,778154-14
Ortuño,65-168+162+1
S. Al Beshi,7675+360
João Victor,58+861+950-7
D. Duka,69-56666
O. Jiménez,333059
D. Mayor,818055
Escassi,586268
R. Petrović,454762
J. Acosta,56-1169-168-1
D. Hediger,727065
Hwang Il Su,816959
F. Koch,85+18263
B. Sulimani,6875+353
Benja,52-24765
J. Kabananga,714563
M. Esser,323059
Kim Won Il,687865
M. Korhut,756866
J. Willis,44-356+242
B. Añor,66-86753
H. Jimenez,79+37860
D. Offenbacher,82+38364
Choi Hyun Tae,707865
Nuno Henrique,605861
G. Koçer,81-175-162-1
M. Seuntjens,66-26662
Cristian Fernández,8380+171
Igor Rossi,474561
J. Villareal,73-69065
J. Garrero,676962
M. Klauß,777363
P. Stepanets,715859
E. Osipov,614859
Elízio,746662
Bruno Moreira,535859
A. Mayof,504354
M. Al Bishi,7777+257
Iago Díaz,81+364+162
Bruninho,7674+765+6
J. Gondorf,767265
J. Ring,787658
S. Rivera,718063
N. Plange,787266
S. Nutz,74+373+366+10
E. García,74-189+357-1
S. Silva,675358-1
Pedro Coronas,757058
E. Markkanen,5834-354
D. González,434263
J. Fortes,746768
K. Vandendriessche,595563
L. Prichoda,796963
M. Benítez,777261
J. Ortega,735866
João Pedro,46+14062
R. Harris,7879+367
B. Alnwick,346959
E. Børufsen,685951
M. Spelmann,697059
L. Nyatanga,687064
J. Wilson,69+55860+2
A. Van Loo,737267
L. Nielsen,685946
S. Darby,748360
S. Church,687168-6
M. Nichols,687159
A. Blanco,646468
I. Haddad,606554
N. Daghfous,72+375+462+3
D. Beichler,82+178+260
F. Navarro,90+191+163-3
F. Robert,69+276+1176+3
J. O'Brien,73-475+160+2
L. Silva,58-55565-1
B. Easton,58-1260-1063+5
J. Tshibamba,706767
B. Khumalo,7746-2258
I. N'Diaye,626165
A. Nuhiu,52-44561
M. Buchalik,283666
Guedes,666965
S. Cronin,68+26566
M. Stephens,687063
Berrocal,57-165+163
Arthur Henrique,676768
S. Villalobos,72-166-162-1
C. Trimmel,807465
D. Drocco,75-176-967
S. Pal,566460
J. Raitala,65-16660-6
T. Tchani,69+1470+163
E. Alexander,68-16462
P. Arajuuri,4439-362
E. Faccioli,535462
J. Williams,69+17664
C. Wernitznig,7376+166
J. Brovsky,685959
M. Pusic,626350
E. Finlay,90+77659
A. Rose,78+155967
M. Kerhe,83+177+152
S. Hébras,716851
L. Sánchez,75-175+263+6
M. Al Musa,64-46763
M. Al Eisa,79+178+255
J. Oumari,554957
G. Mera,533349
I. Rivas,688067
T. Trdina,70+2157+1462+14
S. Balanovich,685257
H. Hechalar,797665
Borja Lázaro,585159
G. Monzón,444264
Ancelmo Júnior,686551
L. Holmes,768250
M. Bates,624451
M. Fraga,585761
C. Woods,736059
M. Paterson,79-57367
A. Kokoszka,706863
S. Siani,737864
E. Mejía,61-36164-1
F. Grillo,6674+1067
David Caiado,778159
E. Omozusi,716264
R. Rogers,79+27365
K. Barbarouses,818363-2
M. de Luna,52-846-1164-1
S. Dewaest,534164
E. Güngör,546865
B. Poulain,334862
M. Sema,777563
T. Söderberg,332263
Aridane,33-1332-562
A. Aras,514260
D. Estrada,77-27762
A. Faltsetas,625668
V. Prodell,635663
E. Asante,928255
B. van Hintum,66-86358+1
A. Frączczak,7772+1456
Vilarchao,534862
G. Houla,85+382+345
B. Acosta,675149
M. Arini,6764+567-1
E. Ávila,535565
Wander,697261
J. Martínez,736966
A. Wilbraham,344466+4
E. Hoff,747654
Filipe Anunciação,50+259+1366
J. McCombe,6128-564
C. Weale,55-16557+1
A. Smith,525869
N. Hunt,6276-165
C. Keller,54-146460
L. Guttridge,758054
Luís Olim,66+16465+3
P. Kristiansen,645764
E. Ekobo,49-1658-1650
B. Robson,54+16262-1
K. Begois,436158
F. Kippe,315772
P. Ingelsten,828350
J. Jönsson,615864
A. Nef,29-14353-2
K. Bach Bak,697171
H. Hansen,697169
T. Bechmann,7072+361
N. Høgh,605862
D. Arnaud,68+37769
K. Kuzera,727166
S. Kulovits,787773-3
B. Chorley,514358
D. Harding,696464+3
L. Hirschfeld,254364
L. Price,45-654-263
M. Hahnemann,30+148-153
S. Parnaby,6864+1465
P. Platins,414666-3
A. Görlitz,68-171+166
K. Høie,353375
D. Martinelli,54-55864
B. Castro,545266
F. Jarjat,40-1358+164
César Caneda,62-861-161-3
Diego Rivas,32-104762+6
F. Diawara,64-271+351-2
F. Modesto,757064-4
M. Wölfli,534865
Cristian,8288+566
I. Sonko,515754
L. Miller,605966
R. Earnshaw,69-37562
J. Easter,78+57161
S. Lappin,517864
M. Bergvold,726472
A. Cebe,777353
J. Griffiths,70-262-274-2
Hyun Young Min,917861
Ko Chang Hyun,608660
W. Bressan,354364-1
M. Cottafava,30-226059-1
O. Schröder,434467
R. Kienast,63-260+161
J. Jewsbury,69+37465
T. Dunivant,55-66267
Alberto Aguilar,4958+171
L. Guillon,325065
J. Viale,62-270+358
M. Pfertzel,626563
Leandro Augusto,54+2851-159-1
B. Howard,466363
A. Medina,76-174-153-1
I. Evatt,49-43066
F. Torres,74-188+362+2
K. Djellabi,70+165+167
A. Ponce,45-1060-659-3
N. Collins,545252
L. Mazzoni,252961-1
E. Cesnauskis,53+2064-449
F. Pacheco,636667
S. Romero,687165-3
J. Quiroga,646068
C. Muñoz,533445
L. Vella,676565
A. Erçetin,53-106170
J. Høiland,686368
M. Sahlman,544157
Miguel Llera,524253
Enric Pi,635661
Bustos,6567+361
I. Ershov,486760
R. Nakhushev,646559
D. Smirnov,503272
B. Ślusarski,546364
M. Wiig,787555
A. Cordaz,252866
C. Valeri,666069
J. Absalonsen,7577+445
G. Elokobi,586063
T. Sokolowski,647463
Felipe Saad,536270
T. Perkins,56+158-167
L. Benítez,49-357-1061-7
S. Nelson,595765
D. Tumasyan,5852+255
R. Jones,333354
Kang Min Soo,596355
Hwang Ji Soo,658055
Kim Seung Yong,725762
A. Kure,487373
D. Ambrose,507062
C. Gratzei,606674
A. Madaschi,344256
G. MacKenzie,34-64857
W. Hoskins,75-27351
R. Wood,33-1229-360
A. Álvarez,416666
A. Olvera,65-167-161-1
I. Vázquez,414052
P. Ćwielong,7284-152
R. Kruys,556963
D. Norris,51-35865
T. Eriksson,657362
J. de la Barrera,58-146-157-1
O. Werner,463462
L. Esqueda,72-166-156-1
G. Rossini,453264
S. Pirson,343665
A. Rea,535259-1
L. Ceccarelli,676255-1
Nuno Piloto,636665
Y. Rivière,55-876+361
N. Fauvergue,44-1054-865
R. Colombo,274258-1
J. Cobo,5754-364+3
D. Gómez,76+189+170
C. Polito,445259-1
Andreu,717464
S. Wiseman,777159
S. Gancarczyk,50-196970
S. Veremko,283158
J. Hoyte,80-56565
C. Martínez,47-240-560-4
S. Penco,61-56267+13
H. Aslantaş,676659
L. Heinze,403869
K. Langmead,444167
E. Quintin,6859+262+2
C. Brown,737663
I. Valadéz,70-169-142-1
R. Almer,333666
J. O'Connor,677064
A. Gordon,51-46164
G. Segares,69-17268
R. Braber,425566
D. Gargan,73+1473-158
S. Dawson,717474
Jacobo,74-48258
Paulo Nagamura,696860
B. Iwan,35-115668
P. Golański,777255
M. Bąk,444050
Yang Dong Hyen,546865
S. Hasani,737474
Z. Scott,65+15958
K. Árnason,34-165163
S. Hagen,523358
H. Al Montashari,71+265+157
T. Mikulic,54-86861
A. Sheehan,637268
T. Lee,42+36273
G. Liddle,535871
J. Yacuzzi,657148
K. Yaroshenko,547272
B. Ruytinx,55-34662
Javi Moyano,81+278+461
Espasandín,70+264+163
M. Taouil,778465
J. Hernández,68-164-165-1
E. Palos,374870
Jona,443067
R. Perticone,526564
P. Wiśniewski,736057
A. Moffat,56-186568
B. Storm,64+47073
B. Sadik,674865
G. Coke,787162
J. Hughes,667154
K. McFadzean,624155
K. Belhocine,424156
Hugo Monteiro,777362
Park Hee Chul,798952
B. Fuchs,737062
H. Soto,686463
K. Zayatte,45-741-256-2
P. Cáceres,656268
T. Pope,665557-2
D. Oduro,96+29058
A. Raineau,62-266-259-2
S. De Roover,726967-3
Ernesto,51-156+152
E. Brambila,75-187+265-1
Schumacher,334056
J. Pierazzi,66+16363
H. Čale,525864
M. Uslu,626663
J. Wilmet,747667
N. Núñez,73-263-367
C. Cortés,73-164-158
I. Baldanzeddu,63-1670-768
Ione Cabrera,41-1057+460
P. Rønning,644855
C. Davies,68+17366
B. Soumaré,63+105149
R. Findley,90-27863
S. Gillett,6681+766
Fred,49-186564
Isidoro,79+179+460
W. Al Gizani,726760
M. Ivana,677567
B. Knighton,48-113956
N. Gerzic,647257
B. Celeski,688067
J. Hutchinson,52-1361-170-1
R. Cornthwaite,303549
E. Johansson,787066
P. Londak,454846
A. Schembri,716662
J. Dladla,737571
J. Rojas,73-165-163-1
A. Legzdins,35-1047-1061-3
S. Bouhours,63-251+358
R. Grzyb,7275+1456
O. Bagui,736762
B. Sævarsson,816264
M. Gazzola,766966-1
S. Tüting,685864+2
M. Kobras,583354
V. Hernández,545060
S. Ferrario,535662-1
F. Lukšík,636065
B. Webster,684652
P. Šteinbors,382956
Lee Yun Pyo,616249
P. Torres,686163
Ahn Jae Joon,527264
J. Escobar,684964
A. Norambuena,727561
A. Pomini,444965-1
N. Rnić,6956+458
X. Luissint,736861
Emilio Sanchez,667154-5
Vinícius Reche,703265
C. Tierney,66+16265
M. Tubbs,707168
L. Palmer,64+971+165
S. Al Bishi,34-656-758
A. Al Qahtani,7571+166
A. Haghighi,325065
Kim Young Sin,939258
O. Stjepanovic,6257+1067
M. Bordachev,666867
I. Picuşciac,49-66364+10
R. Nouri,83+184+363
Galán,61-156+337
V. Jovanović,737454
M. Chávez,85+18156
B. Bonilla,473764
L. Gutiérrez,646867
I. Vélez,777363
P. Portocarrero,323560
L. Mosquera,767563
O. Minda,695058
S. Paulle,4846+1465
Cesar Soriano,706767
G. Angoula,54+156-468-4
T. Barnett,817256
J. Neumann,757064
G. Blažević,624526
E. Schiavon,757867-1
R. Jež,657461
Y. Betsch,53+260+1965
A. Fabbro,343459-1
M. Akyüz,726463
F. Araujo,42+826-3654-1
K. Rogulj,32-1033-555-5
Pablo Infante,55-261+159
G. Achilier,604364
H. Navarro,416858
A. Popov,624662
E. Bush,41-431-347
A. Laajab,677647
O. Shevelyukhin,4830-1446
L. Becerra,696359
C. Dobnik,413752
F. Al Thunayyan,464357
T. Buhumaid,756564
F. Cheklam,31-331-149
F. Al Sobea,473559
J. Arrieta,69-77862
T. Göhlert,544560
M. Abdel-Shafy,785055
I. Garrido,354366
J. Zea,748466
J. Serpa,473260
E. Cantero,57-363-262
D. Chica,646765
S. Montesinos,47+43768
J. Cisternas,59-577-253
B. Rieloff,55-45647-1
H. Macías,425865
J. Romero,727170
R. Jérez,413065
P. Pino,526370
D. Rosende,69-365-357+5
V. Cortés,348666
J. Montaño,596664
G. Vallés,80+2084+3363+9
N. Ortiz,76+660-1152
D. Leyes,50-104747
C. Mansanelli,726862+4
E. Gil,71-170-160+3
Hugo Álvarez,71+171+255
L. Delgado,54-23866
M. Justesen,524545
D. Monllor,483363
Tom,716454
D. Djikanovic,597046
Gökçek Vederson,816762
Leandro,633851
G. Reyes,463361
S. Del Mare,757362
Y. Bnou-Marzuk,695948-1
M. Sarr,6467+153
J. Wilson,795762+7
L. Hernández,686960
A. Saint-Maximin,79-37560
L. Crecco,725856
J. Weigl,736161+2
Caio Rangel,797954
M. Piredda,697455
J. Kimmich,737959
A. Mitryushkin,303159
Octávio,665859
D. Gray,868556
S. Yesil,768356
B. de Jong,554364
J. Ikoko,85+573+356
A. Boljević,797659
B. Bolingoli Mbombo,867672
K. Tete,7871+362+7
Unai López,54-260+261+2
E. Koulouris,676157
G. Bigirimana,759165
E. Hewitt,8583+162
C. Ramírez,818262
C. Reilly,70-15962
M. Kempf,55+564+959+9
O. Vlachodimos,423660+2
Medrán,637063
Wallace,584653
Y. Kaabouni,71-17263
T. Pellenard,69+25859
G. Long,4843+757
L. Krajnc,665747-1
D. Chouchoumis,776651
B. Adjei-Boateng,727259
S. Gallagher,645954
Lucas Evangelista,757445
O. Álvarez,90+146957
Rubén Yáñez,445155
R. Vloet,66-159+259+1
K. Palmer,746354
E. Hadžić,80+17867
Adrián Ortolá,4954-261
M. Chacón,767264
M. Høibråten,676069
M. Ishak,6972+555
R. Strebinger,333961
Samu Castillejo,76-177-252
B. Osborn,808353
Etxeberría,6560+259+2
S. O'Neill,77+15859
Ricardo Alves,616058
O. Mancilla,434760
