short_name,total
V. Ibišević,64-17381
Y. Kaboul,68-55876
L. Diarra,807777-1
A. Williams,665876
R. Shirokov,67-77277
R. Vlaar,53-539-275+1
F. Guarín,7976+178-2
C. Rodríguez,797584-1
Raúl García,69+364+682+1
Mikel Gonzalez,68-25570
Lucas Leiva,57-67078
A. Ramos,8383-178
Jonas,757780-2
O. Giroud,61+25881
O. Cardozo,32-185078
D. N'Doye,71+17675
V. Ćorluka,515776
Bruno,58-360+180-3
K. Honda,747463-1
João Pereira,86-17982-1
M. Depay,92+38281+5
L. Marković,938681
A. Oxlade-Chamberlain,89-18474
R. Barkley,827076
Marquinhos,787077
J. Quintero,78-18673
William Carvalho,53-749-1576-2
E. Lamela,84+379-475+2
K. Papadopoulos,65-35872
L. Traoré,754175
Juan Jesus,7970+169-1
Alberto Moreno,8888-278
H. Moreno,69-468-166
E. Capoue,66-649-1977
G. Wijnaldum,80-683-179+5
J. Henderson,767477
P. Piatti,89+188+160-5
Adrien Silva,63-471-377
Mikel San José,51-156+275+2
A. Poli,767677-1
D. Welbeck,868577
G. Töre,848370
Cristian Tello,898476
M. Etxeberría,868277
Y. Lodygin,493473
M. Bradley,696780
J. Ménez,84-182-271-5
A. Consigli,485771-1
Y. Movsisyan,78-764-472
A. Ayew,798674-3
P. Ebert,8079+374-2
I. Perišić,8375-179
T. Alderweireld,6157-177
K. Gibbs,77-67380
Taison,908978
De Marcos,89+185+287+4
A. Kokorin,857482
S. de Vrij,656877+1
P. Lasogga,60-26077
Rafinha,78-379-275
S. Savić,65-16075-1
P. Franco,737270
D. Astori,67-15875-1
D. Criscito,82+16878
Adrián,88-182+382
D. Payet,798578
K. Mitroglou,6058-675
M. Kruse,73-176-178
Y. M'Vila,787381
Camacho,67-27378
R. Hamouma,858476
O. Baumann,474577
Joãozinho,85+994+1373
J. Mikel,56-1153+167
Coke,76+177+184+2
J. Lens,84-278-682
L. Stindl,75+175-180+2
M. Diouf,81-57578
M. Schmelzer,75+17077
S. Reinartz,49-434-2078
Y. Rakitskyi,677270
